,Type_Year,Amount,Year,Finanzierungstyp
0,clim_adapt_amount_2013,430780688.5,2013,Klimaanpassung Finanzierung
1,clim_adapt_amount_2014,599863973.0,2014,Klimaanpassung Finanzierung
2,clim_adapt_amount_2015,661362942.5,2015,Klimaanpassung Finanzierung
3,clim_adapt_amount_2016,893345489.5,2016,Klimaanpassung Finanzierung
4,clim_adapt_amount_2017,865653914.0,2017,Klimaanpassung Finanzierung
5,clim_adapt_amount_2018,1048374899.5000001,2018,Klimaanpassung Finanzierung
6,clim_adapt_amount_2019,1242999296.5,2019,Klimaanpassung Finanzierung
7,clim_adapt_amount_2020,1509883530.5,2020,Klimaanpassung Finanzierung
8,clim_adapt_amount_2021,1596187821.0,2021,Klimaanpassung Finanzierung
9,clim_adapt_amount_2022,1693406647.5,2022,Klimaanpassung Finanzierung
10,clim_miti_amount_2013,561335063.0,2013,Klimaschutz Finanzierung
11,clim_miti_amount_2014,597542272.4999999,2014,Klimaschutz Finanzierung
12,clim_miti_amount_2015,491370373.5,2015,Klimaschutz Finanzierung
13,clim_miti_amount_2016,767379752.9999999,2016,Klimaschutz Finanzierung
14,clim_miti_amount_2017,849431274.5000001,2017,Klimaschutz Finanzierung
15,clim_miti_amount_2018,855800231.0,2018,Klimaschutz Finanzierung
16,clim_miti_amount_2019,1067214184.4999999,2019,Klimaschutz Finanzierung
17,clim_miti_amount_2020,1054035251.5,2020,Klimaschutz Finanzierung
18,clim_miti_amount_2021,1376035352.5,2021,Klimaschutz Finanzierung
19,clim_miti_amount_2022,1640856550.0000002,2022,Klimaschutz Finanzierung
20,non_clim_amount_2013,4123669176.5000014,2013,Andere ODA
21,non_clim_amount_2014,5125713580.5,2014,Andere ODA
22,non_clim_amount_2015,4163770118.0000005,2015,Andere ODA
23,non_clim_amount_2016,5236282779.499999,2016,Andere ODA
24,non_clim_amount_2017,5489601781.5,2017,Andere ODA
25,non_clim_amount_2018,6108516452.5,2018,Andere ODA
26,non_clim_amount_2019,6322369446.0,2019,Andere ODA
27,non_clim_amount_2020,7730788500.000002,2020,Andere ODA
28,non_clim_amount_2021,7621191955.5,2021,Andere ODA
29,non_clim_amount_2022,8117990964.500001,2022,Andere ODA
